,Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch
289,Brad Riddell,Lightweight,0.00018678267827957663,0.0,0.0,0.0007530262621990382,0.00037196786346476183,0.0007519231924014809,0.151220365605631,0.08268377697625724,0.12252525801389998,0.0564220070909765,0.16986840507855946,0.1003995005508822,0.13116678350068664,0.06374806636433417,0.004780897050299983,0.0019029716308723783,0.010287424743226237,0.0033668806883155535,0.1174898732970952,0.056011213128749786,0.09572538914213806,0.03504166046597846,0.02265207187837774,0.01673081441797077,0.015958856475607144,0.01267541583773256,0.011078420430158059,0.009941749429536685,0.010841012396154792,0.008704930787265483,0.130270353269525,0.06566898082877747,0.11517683383722084,0.050574234312911526,0.004150753742604864,0.0035760282699166105,0.00377718838604571,0.003026862686738621,0.016799258593501155,0.01343876787756317,0.003571235790633436,0.002820910091326347,0.1367014541592911,0.23097395188788114,0.0,1.0,0.0,0.0,0.0
290,Brad Scott,Middleweight,9.901112637532643e-05,0.0008422446943990148,0.0007052585224814365,0.0002029534986487409,0.0002029534986487409,0.0,0.14599614387693277,0.05896501635668935,0.16321154979973268,0.06847181172215693,0.17395337335869854,0.0830448178506624,0.18789118921483258,0.09149613448098554,0.0039028513871725307,0.0006392911957502739,0.005544170091408961,0.0015075107159894668,0.11289879952057702,0.035668583103068176,0.13049853673308373,0.04537284675796438,0.022787133053324752,0.014663823423361312,0.020925102247551095,0.013558299179079166,0.010310211303031004,0.008632609830259859,0.011787910819097846,0.00954066578511339,0.12750369228011316,0.04465967639964971,0.13853106278637076,0.05135045177037768,0.015595172462027218,0.011611014320895988,0.01795521852443001,0.012889562690996725,0.002897279134792387,0.002694325636143646,0.006725268488931909,0.004231797260782528,0.25340791158267895,0.0947903300651724,0.0,1.0,0.0,0.0,0.0
291,Brad Scott,Welterweight,0.0004665675210684396,0.0002624442306009973,0.0011080978625375442,0.0001166418802671099,0.0001166418802671099,0.0,0.12958912897675912,0.05339282069226956,0.1979704312833523,0.09698772344210188,0.13754993730498935,0.06074125914909748,0.21747878575802643,0.11585454757530692,0.0009331350421368792,0.00014580235033388739,0.0044907123902837316,0.002187035255008311,0.09596710698976467,0.03321377540605955,0.15965357361560667,0.06992680722013239,0.01802117050126848,0.009302189951302015,0.021870352550083107,0.013472137170851195,0.01560085148572595,0.010876855334907998,0.016446505117662498,0.013588779051118305,0.12028693902545709,0.046365147406176185,0.14297378473740996,0.05779605167235296,0.007260957046627592,0.005103082261686058,0.007902487388096697,0.00577377307322194,0.0020412329046744235,0.0019245910244073134,0.04709415915784562,0.03341789869652699,0.11395911702096638,0.18441081270230075,0.0,1.0,0.0,0.0,0.0
292,Brad Tavares,Middleweight,0.0002218610982284817,0.0004429698281030567,0.0,0.0007146762296967714,0.00019188145272748433,6.0580170336451506e-05,0.11812518011527066,0.049593814303188224,0.10125376027151552,0.04379856706110193,0.1362670985381212,0.06594660686820751,0.12541462694226252,0.06591586859532951,0.003965287893893664,0.0011766800975114811,0.0058844716953590235,0.0011944091414450406,0.09061517437832087,0.029333478733200434,0.07339574892908608,0.024970753924041453,0.01297402178075983,0.008363612684331138,0.012238099242282554,0.007330203475400063,0.014535983956189972,0.01189672288565665,0.015619912100146871,0.011497609661660416,0.1018651317024329,0.038980505723473786,0.08220598196486502,0.03101379817176672,0.012007071692814382,0.007589955125805249,0.014653156796530595,0.009348560331747736,0.004252976720023383,0.0030233534539091957,0.004394621510119898,0.0034362085575874745,0.20449291163593344,0.1957346977897188,0.0,1.0,0.0,0.0,0.0
293,Brady Hiestand,Bantamweight,0.0,0.0011111111111111111,0.0,0.0,0.0011111111111111111,0.0011111111111111111,0.14888888888888888,0.07333333333333333,0.19,0.1111111111111111,0.1688888888888889,0.09111111111111111,0.31222222222222223,0.22333333333333333,0.012222222222222223,0.006666666666666667,0.0044444444444444444,0.0022222222222222222,0.13777777777777778,0.06555555555555556,0.16666666666666666,0.09222222222222222,0.01,0.006666666666666667,0.02,0.015555555555555555,0.0011111111111111111,0.0011111111111111111,0.0033333333333333335,0.0033333333333333335,0.13,0.057777777777777775,0.14555555555555555,0.07444444444444444,0.011111111111111112,0.008888888888888889,0.03,0.024444444444444446,0.0077777777777777776,0.006666666666666667,0.014444444444444444,0.012222222222222223,0.5111111111111111,0.1688888888888889,0.0,1.0,0.0,0.0,0.0
294,Brandon Davis,Bantamweight,0.0,0.00041253639745592556,0.0003025087872145834,0.0004898549424445981,0.0,0.0002883761626832183,0.15852977850158517,0.05933582950940766,0.1599024683585888,0.07343396137845203,0.1728468645439049,0.07116877926248794,0.18913763290815913,0.09793719370632128,0.00248939118175387,0.001090959059798697,0.008218207517233032,0.0046397799462648305,0.11732604350696596,0.0313843342346084,0.1344368513964491,0.05661818691248953,0.017612752758612953,0.010140246246404349,0.01436089514927448,0.008568600593750527,0.023590982236006273,0.017811249028394906,0.0111047218128652,0.00824717387221197,0.14857957030281777,0.0514756777723739,0.13604264930185522,0.05713583752127506,0.005668014449980069,0.004832202028859968,0.00732248230320756,0.0041156446619487865,0.004282193748787356,0.0030279497081737924,0.01653733675352598,0.012182479195228177,0.09112443563397536,0.2646192824908578,0.0,1.0,0.0,0.0,0.0
295,Brandon Davis,Featherweight,0.0,0.0001733102253032929,8.665511265164645e-05,0.00020388022337762372,0.0,0.0,0.1751120498748315,0.06607235701906412,0.1719225399576353,0.054884459849797805,0.19741671480839593,0.0861419218178317,0.1982798960138648,0.07673346331600231,0.0010499711149624495,0.0006702532254958598,0.013397241478913923,0.004095416907375313,0.13729708261120738,0.03814822838436357,0.15211077411900636,0.04406869824764106,0.01534204698632775,0.01019918640477566,0.014143919699595608,0.006460379356826498,0.02247292027729636,0.0177249422299249,0.005667846139033314,0.004355382245330252,0.1654657712305026,0.059943072405160794,0.15302558732909688,0.043676222799922976,0.006146976699403043,0.0042228721355671095,0.011595416907375313,0.005986303678028115,0.0034993019449258617,0.0019064124783362219,0.007301535721163104,0.005221933371846716,0.03169085788561525,0.2871220874253803,0.0,1.0,0.0,0.0,0.0
296,Brandon Jenkins,Lightweight,0.0,0.001142857142857143,0.0,0.0,0.001142857142857143,0.0,0.12,0.046857142857142854,0.15314285714285714,0.09828571428571428,0.15771428571428572,0.07657142857142857,0.22628571428571428,0.15314285714285714,0.0,0.0,0.009142857142857144,0.006857142857142857,0.07885714285714286,0.019428571428571427,0.13485714285714287,0.08114285714285714,0.018285714285714287,0.008,0.010285714285714285,0.009142857142857144,0.022857142857142857,0.019428571428571427,0.008,0.008,0.112,0.04114285714285714,0.08457142857142858,0.04914285714285714,0.005714285714285714,0.0034285714285714284,0.001142857142857143,0.001142857142857143,0.002285714285714286,0.002285714285714286,0.06742857142857143,0.048,0.004571428571428572,0.648,0.0,0.0,0.0,0.0,1.0
297,Brandon Moreno,Flyweight,0.0003022798892199394,0.00028144334722755116,0.0018927488321186315,9.193121279948808e-05,0.0002890096032129161,0.0002890096032129161,0.14201907432101113,0.057833624840340644,0.12566896101737318,0.05247807353127487,0.17378331692620977,0.08769809541056559,0.14673531202773069,0.0722732131460818,0.004947074684909295,0.0025509646996436834,0.004741505973014091,0.0018954474111284672,0.12340790148803399,0.04389386914382024,0.10003208266425112,0.034907531813238926,0.011886509933338995,0.008406573794463586,0.013912405645860436,0.008909813554591231,0.006724662899638149,0.005533181902056815,0.011724472707261626,0.00866072816344471,0.12353513705931202,0.04630048659762991,0.11330804592889666,0.042721948202309186,0.006403746357252703,0.003710274541895413,0.003676760433782164,0.0019875264650713524,0.012080190904446423,0.007822863700815318,0.008684154654694343,0.007768598863894336,0.2612756361240779,0.11402507047135879,0.0,1.0,0.0,0.0,0.0
298,Brandon Royval,Flyweight,0.000919155625242675,0.0004595778126213375,0.0026494180461843217,0.0015700210778347066,0.0010170081572957108,0.0008611842383241487,0.1254864232607687,0.051280618425876036,0.08278200704419639,0.04370609119773353,0.1559140417496027,0.0748625165148686,0.1228205545097564,0.0820807282397851,0.0011998523907695124,0.0011998523907695124,0.013398529154223047,0.006600017535349162,0.09799666669003262,0.030619975918744546,0.06011936139114617,0.024073340646127744,0.01674061509518042,0.012246856815915428,0.007878520845409253,0.005709809982288967,0.010749141475555682,0.008413785691216057,0.014784124807640967,0.013922940569316816,0.11307439504355812,0.04277542060887003,0.07022346556218714,0.03579954633786241,0.003774475033023736,0.002855319407781061,0.006361990934375483,0.0033817986800391475,0.008637553184186866,0.005649878409224946,0.0061965505476337555,0.004524746179831967,0.16736763537436997,0.459902035050139,0.0,0.0,0.0,1.0,0.0
