Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch,x,y,cluster,specific_cluster
Karo Parisyan,Welterweight,0.0,0.005214402419845,0.05749768711855246,0.019541241755325022,0.036606154715581846,0.13019551217097938,0.12835754987946826,0.06296072415655316,0.16341583298935375,0.09676771862777822,0.1429969308462647,0.09010962621499671,0.2264557260189385,0.21810268014362102,0.22812828667814705,0.20690401642964495,0.181734215496919,0.07316457631462123,0.12398483981109784,0.055850813236974134,0.13836576761181996,0.0575338016452812,0.039336837527060006,0.035024808506995,0.047011302783408385,0.03839017105306313,0.03702143942503131,0.04595435592266232,0.04586134612646926,0.05804049543833282,0.12893490323855464,0.07553854620180091,0.121122132086097,0.05723258976328793,0.10971027956087188,0.07289705573008912,0.0586940151547032,0.0323455534429252,0.04529468191169662,0.025814388759892087,0.05325474951636758,0.05042600715600258,0.43236269170183705,0.21159514333697793,0.0,1.0,0.0,0.0,0.0,13.970642,5.71629,0,0_Welterweight
Keita Nakamura,Welterweight,0.011725232251564471,0.0033694778668750002,0.02287679720233947,0.01713535031172602,0.02820125022429766,0.029523227506154107,0.12768207144475038,0.051863106573539396,0.25642648549230224,0.16038014688142221,0.1306988212708895,0.0694160328180462,0.2661190768011873,0.21122497420082248,0.0852328971732195,0.06451474940878868,0.18283498375515597,0.0637386143631736,0.11895185878037359,0.044408328115060396,0.23051599957750607,0.1142078519068854,0.07776237071315201,0.048832166833987,0.050103788244054016,0.03625035570671401,0.0302486991047736,0.023589988346029357,0.07137269558937077,0.10864172484325697,0.22689196446288334,0.12648516751533645,0.25251099487587203,0.163367910491728,0.03777428254147623,0.027748303279880353,0.0401081456070464,0.0264706072109652,0.007894991661977187,0.005455157076893395,0.039522716357005,0.03319794549264171,0.17209505396742006,0.22836049090597849,0.0,0.0,0.0,1.0,0.0,-6.4237556,2.8310237,1,1_Welterweight
Kelvin Gastelum,Welterweight,0.009131481631777556,0.0046560781753575,0.015220423131766457,0.0,0.08389940903377643,0.1747968987246446,0.16772514938404065,0.08053137179307113,0.22180244514231073,0.12164482435981111,0.1786084455304468,0.1040407060390823,0.23754721412291588,0.1740411550570268,0.0874499132235389,0.06263687454462216,0.14865234754042866,0.06684119413037327,0.13885472616221498,0.050221214548251514,0.18789697978280093,0.0766458788677545,0.158362416709298,0.12629858216207,0.07139267676113964,0.045826863260394014,0.11793819419087995,0.1404623048970595,0.04673879415360001,0.06326321721464262,0.27255883435231393,0.18009988016726114,0.2318713902000406,0.12689265866985738,0.10547621845475072,0.07356050121164491,0.0367050788107148,0.0249403665946,0.01258939939031483,0.00811807467309526,0.0144603360539252,0.016135229898580603,0.2790853767394418,0.14380083716549583,0.0,0.0,0.0,1.0,0.0,-5.9123554,2.5288177,1,1_Welterweight
Kenny Florian,Welterweight,0.0,0.0,0.0,0.0,0.0,0.0,0.08782889777129546,0.05479384010525256,0.2509763756886908,0.18807983088554295,0.0823325240701935,0.056967333638400404,0.2343646377434043,0.20159538775917232,0.03432137285491424,0.024180967238688025,0.29599054736010144,0.14848750424980756,0.06032488791190442,0.027557717693323033,0.2565489716362847,0.1809072362894514,0.22459359912857998,0.18559203906617802,0.02864537658429413,0.022795142574933754,0.00836760743156946,0.011505460218408004,0.0,0.0,0.08457040622762033,0.0631825273010916,0.07623162914682256,0.014933492076524973,0.19064688915580655,0.1530694294955431,0.1266327576179968,0.0673503863231452,0.010077995093047855,0.00579484717850244,0.2017542492368042,0.20698734926141227,0.032272229104267046,0.40369213124367603,0.0,0.0,0.0,1.0,0.0,-6.58298,1.9064094,1,1_Welterweight
Kenny Robertson,Welterweight,0.007580751288424555,0.01544968244278,0.046589681859970214,0.026719981834509028,0.028443126986725895,0.02968220139790584,0.1490096318311779,0.08812789617214861,0.18767355051607576,0.13362238781280109,0.1756279655212113,0.11946886685059364,0.23380312417602894,0.22111108455521356,0.13741217488309976,0.04838303802035396,0.26523664004821773,0.12433087557708233,0.11671473465936005,0.056447664032624426,0.16762507067993132,0.0981852423418533,0.17567067996724,0.127954033797783,0.046573961527021514,0.03596677992306038,0.12015000805975451,0.1546727985256501,0.03630965498018926,0.05930576980097584,0.17778500268686953,0.1315628056154097,0.14507185992815508,0.08834048860487782,0.16820463616977685,0.12751885791772224,0.0631708576843852,0.0415702253257456,0.029918583373038217,0.0222460055705107,0.056380526963564326,0.06211223304726035,0.336373271987881,0.346193323342171,0.0,1.0,0.0,0.0,0.0,12.958283,5.2585316,0,0_Welterweight
Kevin Burns,Welterweight,0.0040692382078286,0.006821647808785,0.051518619861231775,0.0,0.0,0.0,0.10436539098035778,0.0502544517075956,0.21759275184655055,0.14677713083975844,0.1444146110860246,0.10670793585564796,0.3031149910511734,0.3018588850992415,0.010638559235288612,0.004999193678438706,0.316695254074093,0.15958963155022624,0.07895168568653621,0.02656899655304762,0.18420007288778256,0.0936524787282732,0.087057894643156,0.060763825912033,0.06362245351311564,0.05208716834185126,0.14499159660600347,0.15967859656293484,0.05914975289445377,0.08202953743630127,0.17962526644283397,0.1142414895809088,0.1760346049365603,0.12826063512844646,0.05715310201088329,0.04583364655276342,0.0283683069618852,0.021920399221078,0.004297022576824017,0.00444165659550375,0.08954879933795083,0.05816428488067162,0.053800288289934536,0.6053703101104204,0.0,1.0,0.0,0.0,0.0,12.001815,3.3129518,0,0_Welterweight
Kevin Holland,Welterweight,0.012078656168423496,0.0,0.011024275627596725,0.1004931483226891,0.0003880418815924894,0.0006177735934379907,0.13036368441311946,0.07449863643913733,0.13226001678083976,0.09010302463841419,0.1638843410626101,0.12124668185393823,0.25188871003757873,0.24697985982419543,0.011191033524308013,0.0055210671699243066,0.5398756916098452,0.25880826886726366,0.10100948142470334,0.047304772595087335,0.10357214175229267,0.049191472635536096,0.081315731808676,0.039415154846764,0.04615686664334476,0.035048858374795135,0.19151004978209898,0.23608989568076294,0.05099597870952526,0.07420495982703938,0.21018831327126059,0.17178784977988484,0.11803497849342938,0.08334402935580582,0.05307888808110872,0.02883417848820728,0.0187683002760256,0.0157385711653504,0.01635073827994332,0.013405557651558615,0.03835025218336483,0.02766097307944856,0.06260101102833061,0.5824666801034633,0.0,1.0,0.0,0.0,0.0,12.273126,3.2386732,0,0_Welterweight
Kevin Lee,Welterweight,0.00484209088543946,2.5926553775252304e-05,0.0025288289488647436,0.030367300319541032,0.054570118276883066,0.06204525465738598,0.21345370837461805,0.10499602560020588,0.23730725587294896,0.17664899308148355,0.194112178544529,0.10775619862058505,0.22264325770305876,0.19106680234479706,0.12499636736210815,0.0895785131270225,0.12547012532607085,0.01539070060836259,0.20368415197571357,0.09316748338464337,0.20608433716333344,0.1276919584235583,0.117493150969769,0.086336171731716,0.06455151877398489,0.048525622742752135,0.025580994223138125,0.03517386705681492,0.05559655810502401,0.08382125262389298,0.34806134124457294,0.2110954438992357,0.26150752133917055,0.20952011752021138,0.012299383509584032,0.008396896442053915,0.0128345034147624,0.0118819701692368,0.03947025773644361,0.035890797241852686,0.01781980290941977,0.021115235816322037,0.4398958317952636,0.03398855108899126,0.0,1.0,0.0,0.0,0.0,12.104384,7.0046134,0,0_Welterweight
Khamzat Chimaev,Welterweight,0.040471518763196206,0.0,0.20767626538716555,0.0,0.0,0.0,0.2219240600921699,0.20028890292721702,0.01152001979799276,0.00481100705842805,0.3858811359268886,0.3626772197880845,0.013110811275291224,0.009327055937631846,0.15254060141604697,0.1601098645888128,0.0,0.0,0.22254533094043905,0.1999216065444789,0.012510989242981387,0.0050940074736297,0.033018927782891,0.033018927782891,0.0,0.0,0.03642987162959424,0.05009107349069206,0.0,0.0,0.0214761157300995,0.0264270027644262,0.01369299394660823,0.006501562170290537,0.0,0.0,0.0,0.0,0.22041495035445202,0.2012007137880533,0.0,0.0,0.9545318273557172,0.0,0.0,1.0,0.0,0.0,0.0,15.195627,5.326058,0,0_Welterweight
Khaos Williams,Welterweight,0.375967960164503,0.0,0.0,0.03209636636220303,0.0,0.0,0.44356303067497127,0.257560233186302,0.22569695941670925,0.14596983863195467,0.3535140414285566,0.20313559222108457,0.21046614441472186,0.15507268399692242,0.2470143554827149,0.0,0.037582291099097775,0.025887766334728893,0.32327575394396985,0.14641326133822724,0.1705805321076478,0.0903510689919888,0.584011513830995,0.521203701524234,0.08467015514227538,0.03245921856208913,0.4843656742176138,0.41146228653175343,0.09725212875684827,0.1561379115356921,0.6587640705254659,0.4465356579740875,0.25726580204436794,0.18184384961052827,0.3446608997912832,0.37817248326393205,0.016571994785632,0.0135004046586472,0.052554772330423355,0.042573437420436726,0.0020195142894305265,0.002955841328014779,0.10264960538521611,0.027454588834816294,0.0,1.0,0.0,0.0,0.0,9.340522,7.629131,0,0_Welterweight
Kiichi Kunimoto,Welterweight,0.0,0.016759419934195,0.03399077156864231,0.032669119861308035,0.0,0.0,0.12688560892149026,0.06804223591952692,0.198918984202541,0.17276194816967108,0.1162970374868076,0.06686497733770244,0.24914557664637482,0.2828438671112604,0.30168397436623634,0.04414893088255255,0.032467196748629086,0.02443138670232205,0.10365925618809962,0.04330601572484056,0.15402922618896925,0.10556007679573681,0.057731025478993,0.048976816660533,0.0760862721326914,0.06393104126154414,0.1668352318209444,0.19552719340137364,0.06960050838394352,0.10706298244170544,0.20270926355124938,0.13069480191518384,0.1851187113433354,0.16546041833452518,0.1266017666691889,0.12964291530050037,0.0668675974786924,0.050100735274328,0.002094930635779665,0.00103908403592009,0.01749544919178479,0.023747332185233862,0.4050460909788891,0.136681803014248,0.0,1.0,0.0,0.0,0.0,13.225908,6.699751,0,0_Welterweight
Kris McCray,Welterweight,0.0,0.0,0.0,0.07410800749198208,0.0,0.09768378650553429,0.1540066695273826,0.05144594558399048,0.20118779901950623,0.11118037394196993,0.1789885242764611,0.10474460861346115,0.25287522557895153,0.2276004753667114,0.03323262839878963,0.046827794561930855,0.47521991611210823,0.3405717800432819,0.12658119899464823,0.030411102284127068,0.1881432051479418,0.0845848965793179,0.21130640007886298,0.135154333694788,0.03858704791505964,0.02572469861003963,0.04489628410916159,0.025295953633204533,0.03138935117801551,0.05126927359075871,0.2322471310691151,0.08057288737090529,0.15255253108686825,0.06488301863931423,0.19252735143615501,0.12216610175803794,0.0891789551814716,0.0411595177760636,0.002035991067910035,0.00234138972809654,0.047822636432434715,0.054440641244502805,0.06952788512724077,0.5869203868553258,0.0,1.0,0.0,0.0,0.0,12.455464,3.5681927,0,0_Welterweight
Kuniyoshi Hironaka,Welterweight,0.0,0.0,0.06316335593374249,0.0,0.0,0.03887828733627102,0.04383476967271975,0.020610932790064797,0.16458925670960434,0.12100458260661394,0.0724407510003077,0.056013681865482376,0.3316230905055806,0.3922446343186852,0.13935364727608296,0.06090591977018487,0.15936596972479272,0.13324668258181335,0.03739121513419956,0.01390340617625932,0.14816601965203516,0.09546321945213901,0.039078690879243996,0.032368934030983,0.021075715604801253,0.012923207140658628,0.024531744033128796,0.025892325843849286,0.06723607263773403,0.09114291576895375,0.05619042945952874,0.02485687903970445,0.10392258762064854,0.06788947206427876,0.025255453505536374,0.017929875475805983,0.0360521186005948,0.019218220991074,0.011561684531695251,0.00956843131219855,0.0958975523364059,0.09147931027078078,0.24486982440645352,0.521676240957288,0.0,1.0,0.0,0.0,0.0,12.918,4.254803,0,0_Welterweight
Kyle Noke,Welterweight,0.015724429288848228,0.008250790888185,0.016939790622384265,0.03453206845052704,0.030896969947024715,0.004747800177241551,0.14084470779347916,0.08274478535297156,0.17571191579373455,0.10391701107401047,0.1236171280141788,0.07700251159297443,0.253224260050502,0.24099948854929518,0.07549302982601389,0.049600577848283256,0.19475092764086097,0.06174029725395991,0.0918625864398741,0.042517133801993755,0.1611039197734313,0.08612043001921531,0.190275772616158,0.11661894430268899,0.03128776145087663,0.017167135046864627,0.23447001539684467,0.250169082685622,0.04374136003047976,0.041550523362940246,0.2124410680100814,0.1737165859242165,0.16243894995200667,0.0885083603995906,0.03866051772434306,0.024646011092423,0.0295780354912052,0.0143100942111044,0.028962995136153323,0.022219846621915906,0.0397575429893773,0.045273934793727634,0.1748112465516117,0.23753616583134046,0.0,0.0,0.0,1.0,0.0,-6.775846,2.347443,1,1_Welterweight
Kyle Stewart,Welterweight,0.0,0.0,0.0,0.2068965517241372,0.0,0.0,0.09798850574712639,0.020361247947454753,0.11983612154318864,0.11724137931034459,0.0758620689655172,0.015270935960591064,0.2595281306715062,0.24623603691112192,0.0,0.0,0.8190130269469305,0.5478247032057068,0.08365817091454263,0.0,0.11568409343715229,0.1034482758620688,0.137931034482758,0.137931034482758,0.0,0.0,0.0,0.0,0.05172413793103426,0.08448275862068937,0.1968015992003997,0.0620689655172411,0.11078691423519008,0.10562613430127031,0.0,0.0,0.0,0.0,0.0,0.0,0.04273600904465781,0.06255012028869258,0.0,0.8394840747565148,0.0,1.0,0.0,0.0,0.0,12.481561,3.2956033,0,0_Welterweight
Lance Benoist,Welterweight,0.00467284187532127,0.0,0.0,0.0,0.0921450617283884,0.0,0.1260570987654321,0.07654320987654314,0.15820957095709562,0.10625,0.1812037037037037,0.14064814814814813,0.26323099415204665,0.2660015649452268,0.0896296296296281,0.045925925925923455,0.1796014677919111,0.11400333522729643,0.08960547504025755,0.04061574074074074,0.1324074074074073,0.0636111111111111,0.205555555555555,0.17499999999999902,0.0600694444444444,0.05451388888888876,0.11323232323232271,0.12018518518518452,0.020833333333332753,0.021550925925925224,0.16886339237788486,0.119583333333333,0.1179309116809115,0.06027046783625715,0.07966501790241623,0.07182100708594603,0.0433333333333332,0.034074074074074,0.02807971014492749,0.025115740740740734,0.06110655737704912,0.06004521963824271,0.3175760657682854,0.37354820469324274,0.0,0.0,0.0,1.0,0.0,-6.2443285,2.0597978,1,1_Welterweight
Laureano Staropoli,Welterweight,0.0,0.0,0.0,0.0,0.0,0.0,0.33571373456790127,0.1264329805996472,0.3387651265126511,0.20541666666666666,0.2631481481481481,0.09841269841269831,0.30425194931773863,0.20573161189358372,0.018333333333332622,0.00861111111110871,0.0696413854703311,0.03309774248534361,0.2952737520128825,0.09472222222222221,0.2879181600955794,0.1327777777777776,0.32037037037037003,0.162962962962962,0.05347222222222202,0.032638888888888884,0.09436026936026838,0.12155092592592537,0.17916666666666603,0.23932870370370352,0.6622423510466987,0.3737499999999997,0.37121676163342826,0.24852704678362567,0.031613102342228645,0.02052028773884116,0.0511111111111108,0.028148148148148,0.0,0.0,0.002868852459016314,0.0025193798449609887,0.009193999491482238,0.041863160870794426,0.0,1.0,0.0,0.0,0.0,9.63093,8.131674,0,0_Welterweight
Leandro Silva,Welterweight,0.0,0.0,0.06455157091570954,0.0,0.0,0.031015187849718257,0.10376698641087131,0.06513646225876434,0.21529311204501728,0.1121103117505995,0.1,0.06956149366221301,0.22971096806765115,0.1613638666531562,0.16882494004796,0.10407673860911111,0.19935209169091714,0.08572077190448794,0.0662600354499009,0.03047961630695429,0.17548541811711907,0.0654676258992804,0.158273381294964,0.127098321342925,0.04316546762589901,0.03057553956834526,0.16463919773272231,0.17332134292565815,0.12230215827338103,0.11750599520383671,0.19036596809508896,0.17589928057553925,0.20637336284818295,0.10834911018553557,0.04748788323062846,0.03985955172292963,0.0757793764988008,0.0383693045563548,0.0,0.0,0.008173133624248144,0.007612514639451105,0.2477915150716955,0.24014864444322398,0.0,1.0,0.0,0.0,0.0,12.874469,6.2904572,0,0_Welterweight
Leon Edwards,Welterweight,0.009120465565791238,0.0017817768798813018,0.015245889890929943,0.00791348144777101,0.0642094038036394,0.0,0.10776371544908925,0.061267254288992844,0.15458249699194873,0.10166407065511643,0.1051884118851346,0.06745445064448391,0.2218069758675673,0.2196709455319185,0.0929784886305683,0.04289291239793945,0.24735464323433362,0.07808728408916721,0.08879372059758495,0.042890824352075356,0.1219441886904909,0.0604188054941667,0.119647680840476,0.089422219560161,0.04918730865937239,0.03632363164870201,0.059922471549938676,0.07212605944402893,0.06593394606476101,0.07418028044351391,0.1751137159749735,0.12955740673622804,0.14315018399160734,0.09283709191320179,0.0534957303123837,0.050077574445161685,0.0304582950152684,0.0228965573805312,0.010908998581346882,0.009898522008581805,0.031209600719805008,0.026806532114661455,0.25532735478394825,0.26869466738767867,0.0,0.0,0.0,1.0,0.0,-6.2382007,2.0438638,1,1_Welterweight
