Unnamed: 0,Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch,x,y,cluster,specific_cluster
1909,Loopy Godinez,WomenStrawweight,0.0,0.0,0.007342779500298,0.0,0.0,0.0,0.06550623577040447,0.05221710222152704,0.09664495855481088,0.054736332676174636,0.10015264274894597,0.07419692469585354,0.1668883747747814,0.1397730287708261,0.26282259556856,0.08185424167184,0.07876212306033942,0.014012677562318804,0.05390778783920363,0.040226184012098765,0.06689245331026254,0.029411419539411884,0.08112412492097401,0.06596136024320601,0.0854595266641309,0.04918439501646864,0.03762410266682252,0.0353045361516725,0.04048032604089676,0.051593735070559386,0.07229745316101732,0.09458277803717757,0.18587405548019545,0.11613523677602805,0.02522498963392321,0.0184713877345921,0.027000382299417976,0.020907590729842107,0.004849987840301496,0.00297587798451925,0.0004547439970800177,0.0005946652269507923,0.42301874240357473,0.20091706091506456,0.0,1.0,0.0,0.0,0.0,15.481032,6.392883,1,1_WomenStrawweight
1921,Luana Pinheiro,WomenStrawweight,0.0,0.0,0.0,0.0,0.0,0.0,0.19802989130434784,0.16722470238095238,0.16493055555555555,0.10276442307692307,0.22792119565217392,0.1513671875,0.21028645833333334,0.15985576923076922,0.46875,0.390625,0.0,0.0,0.1644021739130435,0.133203125,0.13194444444444445,0.06850961538461538,0.1953125,0.15625,0.10253906250000003,0.08789062500000003,0.14648437500000008,0.146484375,0.029296875000000007,0.0,0.1814236111111111,0.24553571428571427,0.3047876602564103,0.17948190789473684,0.12031250000000003,0.15039062500000003,0.05192454268292682,0.060825892857142856,0.042119565217391304,0.012109375,0.004365808823529412,0.005709134615384615,0.2181779176201373,0.11587547709923664,0.0,1.0,0.0,0.0,0.0,13.956516,4.9855185,1,1_WomenStrawweight
1965,Mackenzie Dern,WomenStrawweight,0.00404757225891678,0.0029932322115078,0.050135745050082,0.0025969167133134755,0.03431199284280985,0.0,0.14442747944343484,0.08496225673000647,0.16756833059722182,0.09488624296849493,0.1637662786508479,0.0842190591652864,0.18457344204989243,0.11633164600925971,0.113539491630074,0.011710925203614,0.013377849990071505,0.011126739128877704,0.12310790621185504,0.06019825098475206,0.12788482273919444,0.05185151862881562,0.127484724522646,0.097300666962942,0.09455908617985764,0.06890700293767989,0.08943911521726411,0.11234286453628,0.09284359399995228,0.13560272993483877,0.1590512418073366,0.1251629576407785,0.331201820933323,0.2038343401831146,0.049429116720620135,0.05244111005902836,0.03411131166883481,0.03384795804476046,0.012973689373476205,0.012703416258851215,0.001783209497936147,0.0011962260446579923,0.26781151282671206,0.10856993837007213,0.0,1.0,0.0,0.0,0.0,13.686262,5.16583,1,1_WomenStrawweight
1984,Mallory Martin,WomenStrawweight,0.0,0.006476277647241901,0.014391728104982002,0.23038692038622324,0.0,0.0,0.07607537127678181,0.04893148100841269,0.11952773558877658,0.0713106490465387,0.11574268476112293,0.07733999931064975,0.211839471379457,0.18520714129802196,0.040228377526131995,0.025836649421148,0.12206445332375926,0.09154833999281943,0.0685887671136979,0.03924635331274508,0.09192449197487149,0.04619918560111289,0.07826904352314999,0.07826904352314999,0.08512443611861739,0.05149100975156026,0.0,0.0,0.025879437651037503,0.0422697481633613,0.08604137737937621,0.08277335884364517,0.20421980457051703,0.12217073125111934,0.021200668208863446,0.017667223507386205,0.052983698857393645,0.04361874343640731,0.005819263972884701,0.005576794640681145,0.0048254617763768765,0.004206812830687484,0.19073821850520414,0.4385600614786711,0.0,1.0,0.0,0.0,0.0,14.004887,7.8134465,1,1_WomenStrawweight
2041,Maria Oliveira,WomenStrawweight,0.0,0.0,0.0,0.0,0.0,0.0,0.22079710144927533,0.12055555555555546,0.1744598765432098,0.11814102564102559,0.24550724637681154,0.11348214285714285,0.22459876543209878,0.17254273504273496,0.022222222222222,0.011111111111110001,0.19000000000000009,0.08972222222222183,0.1676570048309178,0.07233333333333324,0.14132716049382715,0.08160256410256404,0.338888888888888,0.183333333333333,0.06562500000000002,0.04895833333333314,0.2031249999999995,0.2083333333333325,0.10416666666666602,0.14631944444444406,0.27499999999999997,0.24182539682539667,0.30343304843304847,0.19676535087719263,0.018333333333333045,0.021388888888888402,0.01624661246612463,0.019031746031745997,0.002246376811594113,0.001291666666666615,0.03011437908496727,0.03410256410256405,0.02815662344266461,0.3531849024597116,0.0,1.0,0.0,0.0,0.0,11.379104,6.0899596,1,1_WomenStrawweight
2043,Marina Rodriguez,WomenStrawweight,0.0035223967553283915,0.0,0.004100559695148,0.009134251589505009,0.04064110689863238,0.008669716998482641,0.16508641425387732,0.11990770331441261,0.13028870811426815,0.0775336267693698,0.18053446147319,0.10621795744089159,0.16256354656830685,0.11588041780770249,0.012874670643274,0.002552395945418,0.09654967138471683,0.03231149048711241,0.11301595554849964,0.06227957349801771,0.10211434016569987,0.05194744023468684,0.30420033634895,0.221183148845709,0.06700519410217388,0.04533075050528176,0.22516185096136046,0.23661392670185877,0.06617591037758477,0.06637219075195196,0.17309675527807605,0.17690922202869425,0.21132401146191646,0.11666804621299716,0.11166363880535736,0.11288949669218597,0.03933142649733489,0.030258999497368117,0.00753114605339453,0.006840364002729195,0.018498952646816953,0.01879995321415016,0.07545674741833591,0.28264246421048345,0.0,1.0,0.0,0.0,0.0,11.890294,6.4825125,1,1_WomenStrawweight
2093,Maryna Moroz,WomenStrawweight,0.0,0.0028774835804745,0.057901532786818,0.014124023497245014,0.0,0.0,0.20377371185346982,0.0943726891866057,0.16383866041101913,0.09798314322284461,0.21965501957457023,0.0857908612959447,0.20226927941829753,0.1440388133386198,0.014124023497246,0.004708007832414,0.045361626166858016,0.02746611476141321,0.1826230794906211,0.07685296486928785,0.11118724645841055,0.04752701965606382,0.195776881743224,0.129202997597556,0.08328395600015064,0.04997441551160326,0.0237594053311472,0.01783785604053875,0.2075342397682328,0.2596522257152435,0.2515375641645559,0.18506525014933276,0.31932599764668873,0.22081578867467858,0.014215011639301004,0.007033848752272652,0.024248898933093555,0.01556549157292931,0.005394009769980487,0.00583824062846532,0.007764055073152595,0.006391163710503685,0.09173910932757579,0.2657548551909101,0.0,1.0,0.0,0.0,0.0,13.106598,5.3751626,1,1_WomenStrawweight
2190,Michelle Waterson-Gomez,WomenStrawweight,0.0,0.0015388721706636,0.03658951306353,0.02731102929230703,0.013099345326224194,0.01915040923492486,0.10627015577057555,0.09085486863262864,0.12603921924244008,0.08905076023950105,0.13947208581518225,0.10357318651413833,0.15605348282466106,0.1256076785249783,0.08225477254276,0.044881762523468,0.04566222343537851,0.01895142338588481,0.06699876240329514,0.04635106862484642,0.08562527922044849,0.04723636404620096,0.23787015197071998,0.183725798629574,0.08205908922831864,0.05870979717058502,0.1619010141101701,0.165879392353465,0.12303350064698702,0.15868532540677302,0.10125363768978968,0.11891537013601834,0.2095190234211292,0.142085138334448,0.06952485001738717,0.07539759354629261,0.04767227313401832,0.046428473004027526,0.01678802268937281,0.015502300884132026,0.011372071489155176,0.013026832851492353,0.2227060771255233,0.32259145519272975,0.0,1.0,0.0,0.0,0.0,13.281859,6.608135,1,1_WomenStrawweight
2247,Miranda Granger,WomenStrawweight,0.0,0.0,0.0,0.03285271813287603,0.022864636788680916,0.0,0.12112915042569718,0.08388473215120493,0.15220491475490824,0.07626988992285376,0.1479371494321621,0.0908431039969809,0.1922916630098518,0.12496600122038307,0.0,0.0,0.025140168855577513,0.016473274112734006,0.07703393822253446,0.044891898498135165,0.09499754786704669,0.031105759042907397,0.116555510840709,0.08302545136748199,0.10542429751234128,0.06286886151230064,0.32291239637351365,0.24450101047314624,0.1956248012838068,0.17317511428603402,0.12465387002927722,0.13131647805926666,0.27775962170375484,0.14382481780526427,0.10442601912980735,0.07771676373331037,0.045434682215547584,0.031326655564986365,0.0012296280870853478,0.00141407230014815,0.006783112869949406,0.0066692167642379,0.052827386662630406,0.24717540007400274,0.0,1.0,0.0,0.0,0.0,12.466185,6.34898,1,1_WomenStrawweight
2262,Montserrat Conejo,WomenStrawweight,0.0,0.0,0.044444444444444,0.0,0.11138888888888834,0.3733333333333308,0.04357487922705309,0.024603174603174505,0.07623456790123455,0.05034188034188028,0.1785507246376811,0.1673015873015873,0.10203703703703697,0.0795726495726495,0.11111111111111001,0.088888888888888,0.0,0.0,0.037198067632850156,0.017222222222222205,0.07037037037037029,0.04222222222222209,0.011111111111111,0.0,0.02083333333333313,0.02083333333333313,0.05208333333333284,0.06944444444444375,0.0,0.0,0.055679012345678944,0.052380952380952174,0.14279202279202277,0.11061403508771894,0.0,0.0,0.0059078590785907265,0.0069206349206348515,0.0,0.0,0.008692810457516253,0.0048717948717948234,0.6815052123061276,0.07273960983884646,0.0,0.0,0.0,1.0,0.0,5.138889,21.88153,0,0_WomenStrawweight
2351,Nina Nunes,WomenStrawweight,0.0,0.0,0.019046939287462,0.0,0.015912130529725607,0.03555492111273771,0.14775153455902065,0.10822610274875069,0.12101205663033901,0.07696587143848996,0.17312954809350084,0.10724625948046364,0.15116183900631866,0.11484575462591586,0.01889701077612,0.006348866469128,0.12895906297296386,0.028334190050157408,0.10562721972517573,0.0630035521767857,0.09002657378701834,0.04706669644999649,0.230136896024433,0.148404597755604,0.05646033103789689,0.03583629701684664,0.1971128138883573,0.22283179884906376,0.10723934760043052,0.1335370587055412,0.16425561067047378,0.19035197442333443,0.21803539737732677,0.14769577513719126,0.06138658467921146,0.04567936588696636,0.030028080268104284,0.026765418404885926,0.008255519290868596,0.00688599920471687,0.00931916144515276,0.008028219009552877,0.16910038584925555,0.2675126078354238,0.0,1.0,0.0,0.0,0.0,12.589827,6.099649,1,1_WomenStrawweight
2390,Paige VanZant,WomenStrawweight,0.002837952889981939,0.0,0.033568521342442,0.03364976933408103,0.0946065735821423,0.025584852041672084,0.11440293907273029,0.09781898549963909,0.07303839592501182,0.05739091869431726,0.24136106234124033,0.19444104419145042,0.11957619963541663,0.1119165415920319,0.118526024433598,0.051422917773858004,0.11224929952022454,0.07191060516387072,0.08577698638521349,0.07363913248874981,0.053012404166783045,0.0351178987758055,0.224143789219431,0.133808117021349,0.06404002197862352,0.05089956698371464,0.07043206343613753,0.06718180764162875,0.014209897482798753,0.020411156029846774,0.04570981113081362,0.040624228048279226,0.06998586506978012,0.054038664037709974,0.20766647130849186,0.16054535520266322,0.0741486544260644,0.05374452014042413,0.047183632203649,0.03743020402096899,0.012078252625533336,0.011541572440182677,0.4848272824690111,0.32774530750246345,0.0,1.0,0.0,0.0,0.0,15.216474,6.6874843,1,1_WomenStrawweight
2439,Pearl Gonzalez,WomenStrawweight,0.0,0.0,0.024242424242424,0.10909090909090811,0.0,0.0,0.12985507246376804,0.06620490620490613,0.2162289562289562,0.08857808857808856,0.13681159420289854,0.05770562770562769,0.24053872053872044,0.11515151515151502,0.072727272727272,0.048484848484848,0.023030303030302807,0.023030303030302807,0.1171014492753623,0.052606060606060545,0.17912457912457913,0.04606060606060604,0.048484848484848,0.024242424242424,0.09545454545454528,0.07272727272727239,0.07954545454545381,0.10606060606060501,0.07272727272727202,0.11878787878787773,0.16148148148148145,0.12952380952380949,0.4645376845376845,0.22277511961722454,0.010666666666666562,0.013333333333333202,0.0032224685883222143,0.003774891774891737,0.001633728590250313,0.00187878787878786,0.0013547237076648707,0.0017715617715617538,0.09653699466056441,0.3992412676382142,0.0,1.0,0.0,0.0,0.0,13.396501,6.247158,1,1_WomenStrawweight
2467,Piera Rodriguez,WomenStrawweight,0.0,0.0,0.0,0.0,0.0,0.0,0.09352657004830911,0.08201058201058192,0.09030864197530858,0.05034188034188028,0.13178743961352649,0.09472222222222217,0.12432098765432091,0.08769230769230768,0.088888888888888,0.066666666666666,0.16888888888888728,0.04222222222222182,0.06376811594202891,0.044777777777777646,0.07154320987654313,0.03572649572649566,0.233333333333333,0.2,0.054166666666666516,0.029166666666666383,0.07291666666666598,0.08333333333333251,0.02499999999999976,0.02722222222222198,0.09506172839506162,0.11873015873015849,0.16829059829059825,0.10635964912280671,0.058666666666666534,0.061111111111111054,0.029539295392953895,0.01730158730158713,0.008985507246376721,0.010333333333333231,0.0012418300653594648,0.0016239316239316077,0.35971523010424616,0.22049194232400332,0.0,1.0,0.0,0.0,0.0,15.022496,6.7467794,1,1_WomenStrawweight
2471,Poliana Botelho,WomenStrawweight,0.010372368011616789,0.0,0.0,0.0,0.0,0.0,0.11628454261615172,0.11507060344680921,0.06851871700210393,0.04463723307774752,0.22799322739487707,0.19505926861634257,0.1445571831209559,0.1435404127847857,0.021829224723114,0.021829224723114,0.3110664523043936,0.0,0.08342653432126372,0.08025223294033572,0.03167232344885078,0.006380850303679769,0.283583422650946,0.212736691675598,0.024557877813504755,0.020464898177920507,0.05618636120042816,0.06127188281529,0.21268756698820956,0.2537968917470518,0.06129232662458803,0.056507426121573744,0.12892768479585193,0.08768686184915654,0.297750625223294,0.31215791354055006,0.023213517022629873,0.023793854948195508,0.005056153595228109,0.00498392282958186,0.0,0.0,0.06712026115897876,0.6810384843005544,0.0,1.0,0.0,0.0,0.0,13.153716,7.1429267,1,1_WomenStrawweight
2473,Polyana Viana,WomenStrawweight,0.0,0.0021610268068284,0.114454125993006,0.014406845378856016,0.0994667819730285,0.05378555608106257,0.11970553840968819,0.08143660736128752,0.09572041444100308,0.060496023419996305,0.2135459296046162,0.15278501321934465,0.12761834967075925,0.096685178657767,0.086938414255662,0.034799304016792,0.07073509998394882,0.04126118995965412,0.08841936252259296,0.04685166370324274,0.062343840855333246,0.026713067820475465,0.221210074641239,0.1515590635223,0.07428175130829827,0.05215394774629913,0.0992556311899688,0.12229934822703624,0.08858583601842528,0.11278494679491441,0.12907338412972175,0.12342444927971243,0.1826154357841619,0.12292558643947529,0.03115411095574449,0.027290349091930656,0.016465679934435012,0.01799476363212376,0.016794888030795253,0.01694682686322219,0.005491607959949789,0.005129421292423792,0.15687179267518317,0.4444618555810483,0.0,1.0,0.0,0.0,0.0,13.595215,7.165379,1,1_WomenStrawweight
2503,Randa Markos,WomenStrawweight,0.0,0.0,0.004687419982366,0.029383868501655027,0.038036361622512393,0.06879676837700821,0.10908385448584934,0.0717284923991484,0.13812803728083206,0.07888279867918949,0.143338134219036,0.08916813126835364,0.17975762883984442,0.1293133733101576,0.08854495198317601,0.02652733567632,0.07872042885194233,0.03670697991152891,0.09437646278445899,0.057163047295877914,0.11151592370238668,0.051840688852550706,0.070870340454595,0.05169402095502999,0.047847888650262765,0.03241294300208364,0.07770820744255691,0.08176851996127375,0.09339029286211203,0.12077329794190479,0.11085861518990585,0.09694705234172891,0.24545467746662647,0.13722343900969305,0.05542889480466801,0.05039338145702576,0.027817980755164735,0.023491849895323366,0.014478660627904155,0.01330062233995483,0.015017367861474206,0.015478807043835738,0.24007139346159076,0.2691217877167194,0.0,1.0,0.0,0.0,0.0,14.236771,6.2622514,1,1_WomenStrawweight
2659,Rose Namajunas,WomenStrawweight,0.009821199596880012,0.0,0.015767865778248,0.008056512493599009,0.01774069047377609,0.0,0.1522056096200534,0.09749040258473683,0.16995139650819455,0.09546156593731012,0.16378365619563018,0.08368707566441602,0.21967626830439096,0.15066801013915332,0.07573616872618599,0.039173125295967996,0.06767619711361703,0.03846461472053981,0.13141733704219943,0.07913492099128065,0.12217971741457487,0.047296855739494645,0.155112568310566,0.099918721066599,0.08989133303282627,0.05571252329045438,0.05833066150883347,0.062440322236853744,0.15964768538901303,0.2217020782512927,0.16465547825701246,0.15620771073712797,0.30692883177187985,0.17698738846774828,0.04490666577574937,0.032354940087360555,0.047711732701572585,0.03729932500270563,0.01913895177162822,0.01620790953036107,0.010410263906872948,0.010399504437727615,0.21530077567165817,0.13199270263370727,0.0,1.0,0.0,0.0,0.0,13.5451145,5.009959,1,1_WomenStrawweight
